#Object	Effective temperature	Luminosity	Radius	Chi^2
#Name	Kelvin	Solar luminosities	Solar Radii	
4689637991231189760	4663.679167663213	176.35707499578155	21.582648743812335	0.0001942472234900597
4689639266844818048	3997.434654668905	819.4109100690442	66.76647964527491	3.070259074834874e-05
4689639301203696768	4425.009118840098	224.70105746789008	27.25515406922192	0.00040662927628246006
4689638059950668928	4437.374379253015	354.7781824654234	34.481666753038276	0.001090109951539789
4689639301203689728	3920.710951440269	1348.4548469186925	90.39923864873327	5.377631658286269e-05
4689639468699964800	4558.1273796153255	488.4684219120861	38.68215141030696	0.002919300571439628
4689637991231190784	5496.633600387722	84.36274454247058	10.497177767075593	0.0019815223422699826
4689639503059716096	4698.28567042714	124.06614241135077	17.751619636763696	0.0009433273213694841
4689639232484222464	3521.1181640625	2005.6719168791171	143.26517532480588	0.0003379465891555892
4689639193822051840	4613.670352194167	162.41657738320188	21.15387556873728	8.294117298760784e-05
