#Teff E(B-V) chi^2
2000.0000000000002 2.46 0.11115066466742007
2000.0000000000002 2.48 0.11219990988494871
2000.0000000000002 2.5 0.11325135944008886
2000.0000000000002 2.52 0.11430512795811174
2000.0000000000002 2.54 0.11536129385529607
2000.0000000000002 2.56 0.11641995715928745
2000.0000000000002 2.58 0.11748120810432539
2000.0000000000002 2.6 0.11854512222361123
2000.0000000000002 2.62 0.11961177852329359
2000.0000000000002 2.64 0.12068125205653131
2000.0000000000002 2.66 0.12175361159565172
2000.0000000000002 2.68 0.12282892461949335
2000.0000000000002 2.7 0.1239072599256399
2000.0000000000002 2.72 0.12498867629891106
2000.0000000000002 2.74 0.12607321893927004
2000.0000000000002 2.7600000000000002 0.12716096520110268
2000.0000000000002 2.7800000000000002 0.12825194326381076
2000.0000000000002 2.8000000000000003 0.12934622437096654
